epoch,loss
1,0.05854358531248111
2,0.03047896111304434
3,0.0272128344195075
4,0.026277168912606105
5,0.025256452751624532
6,0.024794179464602828
7,0.024757851565925356
8,0.023872708806242697
9,0.023961691599753168
10,0.023448904502627432
11,0.02351408478461652
12,0.023029347672724187
13,0.02284636262119708
14,0.02291425336828917
15,0.022847659806283113
16,0.022989843239705276
17,0.022698706147284843
18,0.02249141586307659
19,0.022700803107621834
20,0.02249360121746794
21,0.022563224021568257
22,0.02211737654442525
23,0.02217803625429734
24,0.022122416907969195
25,0.02206396542163168
26,0.022143482734075088
27,0.02219828119318391
28,0.021941939760875117
29,0.021816543884511687
30,0.021999936678215988
31,0.021711980941920325
32,0.021957253901940636
33,0.02183718844038299
34,0.021933349754868284
35,0.02180220082235069
36,0.021469906197351396
37,0.02165980962638417
38,0.02160625623809731
39,0.021751560841917865
40,0.02144109458527249
41,0.021638289742713045
42,0.021551126003281303
43,0.021255624944216803
44,0.02154154974059799
45,0.02151530437792341
46,0.021720333385050423
47,0.02157803597804318
48,0.02127024044211094
49,0.021477948683194626
50,0.021428808432597764
